_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
602538740a7214d8e9000246,5,All-receipts receipt bonus,1.61305E+12,1.61305E+12,1.61305E+12,1.61305E+12,1.61305E+12,5,1.61305E+12,1,FINISHED,2.23,60253861efa6017a44dc6b50
602538920a720f05a8000216,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1.61305E+12,1.61305E+12,1.61305E+12,1.61305E+12,1.61305E+12,3500,1.613E+12,5,FINISHED,20,60253891b54593795bf69242
6024f17d0a720f05a80001ee,,,1.61303E+12,1.61303E+12,,1.61303E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6025b2e10a7214d8e90002a3,,,1.61308E+12,1.61308E+12,,1.61308E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6025c21e0a7214d8e90002ad,,,1.61309E+12,1.61309E+12,,1.61309E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6024aa030a720f05a80001d0,,,1.61302E+12,1.61302E+12,,1.61302E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602573920a720f05a800025d,,,1.61307E+12,1.61307E+12,,1.61307E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602581a10a720f05a8000262,,,1.61307E+12,1.61307E+12,,1.61307E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6025263b0a720f05a80001ff,,,1.61305E+12,1.61305E+12,,1.61305E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
602558a90a720f05a8000240,5,All-receipts receipt bonus,1.61306E+12,1.61306E+12,1.61306E+12,1.61306E+12,1.61306E+12,5,1.61297E+12,2,FINISHED,1,60255883efa60114d20e5d4e
602515cf0a7214d8e9000231,,,1.61304E+12,1.61304E+12,,1.61304E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
